subj_idx,valence,matchness,condition,rt_m,sd,var
1,Bad,match,image_first,619.25,52.77322067595288,2785.0128205128203
1,Bad,match,simultaneous,683.6923076923077,61.524985872730404,3785.323886639676
1,Bad,match,word_first,606,61.11359746301796,3734.871794871795
1,Bad,mismatch,image_first,668.55,73.87131916293221,5456.971794871795
1,Bad,mismatch,simultaneous,772.3333333333334,79.87435308471521,6379.912280701755
1,Bad,mismatch,word_first,648.625,48.11294804136168,2314.855769230769
1,Good,match,image_first,609.075,107.35954151283507,11526.071153846155
1,Good,match,simultaneous,644.5641025641025,61.52055491835951,3784.778677462888
1,Good,match,word_first,548.875,39.72997802473787,1578.4711538461538
1,Good,mismatch,image_first,693.85,93.62706983094262,8766.028205128205
1,Good,mismatch,simultaneous,732.525,58.162454847144765,3382.871153846154
1,Good,mismatch,word_first,640.6,77.2202311739877,5962.964102564102
1,Neutral,match,image_first,652.6666666666666,60.60021423157084,3672.3859649122805
1,Neutral,match,simultaneous,673.35,53.397661525672234,2851.3102564102564
1,Neutral,match,word_first,606.6410256410256,78.45363604987786,6154.973009446694
1,Neutral,mismatch,image_first,736.6,83.88508623293947,7036.707692307692
1,Neutral,mismatch,simultaneous,789.8717948717949,100.42493386321198,10085.167341430499
1,Neutral,mismatch,word_first,682.95,119.34349262012249,14242.86923076923
2,Bad,match,image_first,596.925,156.42486317882083,24468.73782051282
2,Bad,match,simultaneous,720.6285714285714,126.59223229452479,16025.593277310925
2,Bad,match,word_first,586.1764705882352,146.76273794043172,21539.301247771837
2,Bad,mismatch,image_first,716.578947368421,176.622460629621,31195.49359886202
2,Bad,mismatch,simultaneous,834.75,131.12466805078506,17193.678571428572
2,Bad,mismatch,word_first,736.96875,201.47320071125765,40591.45060483871
2,Good,match,image_first,636.7435897435897,163.9835867827724,26890.61673414305
2,Good,match,simultaneous,751.5428571428571,129.8010565662479,16848.314285714285
2,Good,match,word_first,696.1052631578947,196.94419424605076,38787.01564722617
2,Good,mismatch,image_first,718.6666666666666,167.98189386557905,28217.916666666668
2,Good,mismatch,simultaneous,855.0882352941177,169.7399736222328,28811.658645276293
2,Good,mismatch,word_first,757.8888888888889,152.85647701063428,23365.102564102563
2,Neutral,match,image_first,661.918918918919,171.4090912891629,29381.076576576575
2,Neutral,match,simultaneous,710.0571428571428,134.75488485244844,18158.878991596637
2,Neutral,match,word_first,565.7435897435897,86.83823980273775,7540.879892037787
2,Neutral,mismatch,image_first,709.4193548387096,110.0802053636494,12117.651612903226
2,Neutral,mismatch,simultaneous,807.2903225806451,133.75280521628625,17889.812903225808
2,Neutral,mismatch,word_first,702.6060606060606,175.3713808240136,30755.121212121212
3,Bad,match,image_first,708.9375,125.68674257082374,15797.157258064517
3,Bad,match,simultaneous,726,79.07022195491803,6252.1
3,Bad,match,word_first,640.4516129032259,129.29368087411888,16716.855913978496
3,Bad,mismatch,image_first,655.5,138.7016533738825,19238.14864864865
3,Bad,mismatch,simultaneous,734.2432432432432,134.13579466872895,17992.411411411413
3,Bad,mismatch,word_first,674.1428571428571,105.28704262414163,11085.361344537816
3,Good,match,image_first,592.05,182.4085229115384,33272.86923076923
3,Good,match,simultaneous,629.1794871794872,91.19726213424791,8316.940620782727
3,Good,match,word_first,580.5,120.54364947425239,14530.771428571428
3,Good,mismatch,image_first,644.3142857142857,101.49464530313944,10301.163025210084
