effect,N,BF,stage,upper_threshold,lower_threshold
matchness:sequence:valence,20,1.2818658484914998,1,10,0.1
matchness:sequence,20,0.15779417969006274,1,6,0.16666666666666666
sequence:valence,20,0.5362889553396811,1,6,0.16666666666666666
matchness:valence,20,90.64375352573839,1,6,0.16666666666666666
sequence,20,409027002491521.4,1,10,0.1
matchness:sequence:valence,30,4.178845607408874,2,10,0.1
matchness:sequence,30,0.30315088112082206,2,6,0.16666666666666666
sequence:valence,30,2.5962276456483,2,6,0.16666666666666666
matchness:valence,30,1048.1181233374402,2,6,0.16666666666666666
sequence,30,15722435915606433e6,2,10,0.1
matchness:sequence:valence,40,434.1110436320304,3,10,0.1
matchness:sequence,40,0.07773908559888464,3,6,0.16666666666666666
sequence:valence,40,0.8726672833860143,3,6,0.16666666666666666
matchness:valence,40,701407.0407085649,3,6,0.16666666666666666
sequence,40,31039680513646716e12,3,10,0.1
